itemA,itemB,co_purchase_count
Garlic China Big-(kg),Panch Foron-100g,2
Garlic China Big-(kg),Radhuni Tehari Masala-45g,2
Garlic China Big-(kg),Sweet Pumpkin(kg),2
Garlic China Big-(kg),Teer Sugar-1Kg,2
Garlic China Big-(kg),Usta(kg),2
Ginger Barmiz-(Kg),Mug Pulse (Sona)-1kg,2
Ginger Barmiz-(Kg),Net Pumpkin (Jali Kumra)-Pc,2
Ginger Barmiz-(Kg),Pabda Fish (Small) (HB),2
Ginger Barmiz-(Kg),Panch Foron-100g,2
Ginger Barmiz-(Kg),Radhuni Tehari Masala-45g,2
Ginger Barmiz-(Kg),Sweet Pumpkin(kg),2
Ginger Barmiz-(Kg),Usta(kg),2
Golden Raisin (Kismis)-200gm,Lassa Special Semai-500g(Pkt),2
Golden Raisin (Kismis)-200gm,Pop Corn(Khai Bhutta)-500gm,2
Golden Raisin (Kismis)-200gm,Prince Cone Mehedi,2
Golden Raisin (Kismis)-200gm,Radhuni Biriyani Masala-40g,2
Golden Raisin (Kismis)-200gm,Vermicelli Samai-200gm,2
Golden Raising-100gm(Kismis),Kath Badam-100g,2
Golden Raising-100gm(Kismis),Mixed Masalla-100gm,2
Golden Raising-100gm(Kismis),Prince Cone Mehedi,2
